event,home,away,home_score,away_score
1,Man Utd,Fulham,1,0
1,Ipswich,Liverpool,0,2
1,Arsenal,Wolves,2,0
1,Everton,Brighton,0,3
1,Newcastle,Southampton,1,0
1,Nottingham Forest,Bournemouth,1,1
1,West Ham,Aston Villa,1,2
1,Brentford,Crystal Palace,2,1
1,Chelsea,Man City,0,2
1,Leicester,Spurs,1,1
2,Brighton,Man Utd,2,1
2,Crystal Palace,West Ham,0,2
2,Fulham,Leicester,2,1
2,Man City,Ipswich,4,1
2,Southampton,Nottingham Forest,0,1
2,Spurs,Everton,4,0
2,Aston Villa,Arsenal,0,2
2,Bournemouth,Newcastle,1,1
2,Wolves,Chelsea,2,6
2,Liverpool,Brentford,2,0
3,Arsenal,Brighton,1,1
3,Brentford,Southampton,3,1
3,Everton,Bournemouth,2,3
3,Ipswich,Fulham,1,1
3,Leicester,Aston Villa,1,2
3,Nottingham Forest,Wolves,1,1
3,West Ham,Man City,1,3
3,Chelsea,Crystal Palace,1,1
3,Newcastle,Spurs,2,1
3,Man Utd,Liverpool,0,3
4,Southampton,Man Utd,0,3
4,Brighton,Ipswich,0,0
4,Crystal Palace,Leicester,2,2
4,Fulham,West Ham,1,1
4,Liverpool,Nottingham Forest,0,1
4,Man City,Brentford,2,1
4,Aston Villa,Everton,3,2
4,Bournemouth,Chelsea,0,1
4,Spurs,Arsenal,0,1
4,Wolves,Newcastle,1,2
5,West Ham,Chelsea,0,3
5,Aston Villa,Wolves,3,1
5,Fulham,Newcastle,3,1
5,Leicester,Everton,1,1
5,Liverpool,Bournemouth,3,0
5,Southampton,Ipswich,1,1
5,Spurs,Brentford,3,1
5,Crystal Palace,Man Utd,0,0
5,Brighton,Nottingham Forest,2,2
5,Man City,Arsenal,2,2
6,Newcastle,Man City,1,1
6,Arsenal,Leicester,4,2
6,Brentford,West Ham,1,1
6,Chelsea,Brighton,4,2
6,Everton,Crystal Palace,2,1
6,Nottingham Forest,Fulham,0,1
6,Wolves,Liverpool,1,2
